Date,Country,City,Specie,Count,Min,Max,Median,Variance
31/12/2018,AU,Sydney,co,44,2.3,4.5,3.4,5.34
7/01/2020,AU,Melbourne,pm25,311,10,187,62,16012.4
31/12/2018,AU,Sydney,wind-speed,152,0.1,8.3,1.8,27.78
31/12/2018,AU,Sydney,wind-gust,159,0.1,15.5,4,67.62
31/12/2018,AU,Sydney,so2,93,1.5,10,1.5,46.03
31/12/2018,AU,Sydney,no2,154,1,20.4,6.5,208.47
31/12/2018,AU,Sydney,pressure,168,1008.9,1017.6,1013.3,67.8
31/12/2018,AU,Sydney,dew,46,15,21.3,20,15.17
31/12/2018,AU,Sydney,temperature,168,20.5,36,23.5,167.97
31/12/2018,AU,Sydney,pm10,168,26,35,30,41.82
31/12/2018,AU,Sydney,humidity,168,36.6,94,74.7,2338.02
31/12/2018,AU,Sydney,o3,161,2.4,72.5,26.4,1949.5
31/01/2020,AU,Melbourne,pm25,311,17,101,51,1769.78
24/02/2020,AU,Melbourne,pm25,311,7,84,41,2321.5
31/12/2018,AU,Hobart,humidity,72,50.8,86,73.5,1139.09
4/01/2020,AU,Melbourne,pm25,309,15,250,89,30586
31/12/2018,AU,Hobart,pressure,72,1001.1,1014.8,1006,196.01
31/12/2018,AU,Hobart,wind-speed,54,0.1,2.3,1.2,5.08
31/12/2018,AU,Hobart,wind-gust,72,0.2,6.2,2.3,22.18
31/12/2018,AU,Hobart,temperature,72,13.6,25.5,16.8,134.42
31/12/2018,AU,Hobart,pm10,57,8,18,12,54.69
4/01/2020,AU,Melbourne,pm25,309,15,250,89,30586
31/12/2018,AU,Darwin,no2,47,0.1,3.8,0.6,3.92
31/12/2018,AU,Darwin,temperature,72,23.2,34.5,28,68.7
31/12/2018,AU,Darwin,pm10,47,6,26,17,223.14
31/12/2018,AU,Darwin,o3,48,2.7,11.1,7.8,56.36
31/12/2018,AU,Darwin,so2,35,0.1,0.8,0.1,0.18
31/12/2018,AU,Darwin,wd,48,28,333.2,204,77844.2
31/12/2018,AU,Darwin,wind-speed,48,0.6,5.8,1.9,16.9
31/12/2018,AU,Darwin,wind-gust,60,0.2,24.1,2,303.25
31/12/2018,AU,Darwin,dew,69,22.5,25,24,4.9
31/12/2018,AU,Darwin,humidity,48,48.4,98.2,74.6,1523.97
31/12/2018,AU,Darwin,pressure,72,1005,1016,1007.4,59.85
31/12/2018,AU,Darwin,precipitation,2,0.1,1.8,0.1,14.45
31/12/2018,AU,Darwin,co,47,2.7,4.2,3,3.8
31/12/2018,AU,Melbourne,dew,21,10,16,14,38.57
31/12/2018,AU,Melbourne,temperature,156,0,23.3,0,863.37
31/12/2018,AU,Melbourne,pressure,156,0,1012.6,0,2191660
31/12/2018,AU,Melbourne,wind-gust,179,0.1,15.8,8,155.1
31/12/2018,AU,Melbourne,so2,33,1.5,2.9,1.5,3.01
4/02/2020,AU,Melbourne,pm25,308,1,53,25,700.5
31/12/2018,AU,Melbourne,no2,116,1,5.6,2.8,18.3
31/12/2018,AU,Melbourne,precipitation,6,1,998,994,2645400
31/12/2018,AU,Melbourne,co,36,1.2,3.4,2.3,5.1
31/12/2018,AU,Melbourne,pm10,140,2,31,18,505.25
31/12/2018,AU,Melbourne,humidity,156,50.9,82.1,68,372.79
31/12/2018,AU,Melbourne,o3,132,7.3,28.1,12.1,332.5
31/12/2018,AU,Melbourne,wind-speed,144,0,5.1,0.5,25.83
31/12/2018,AU,Adelaide,humidity,168,10.2,80.8,40.4,3099.64
23/02/2020,AU,Melbourne,pm25,308,2,67,25,1220.89
31/12/2018,AU,Adelaide,pressure,168,1008.5,1013.5,1011.6,19.59
31/12/2018,AU,Adelaide,wind-speed,117,0.1,11.5,2.9,81.18
31/12/2018,AU,Adelaide,dew,24,1,15,11,145.8
31/12/2018,AU,Adelaide,temperature,168,15,34.9,22.5,344.06
31/12/2018,AU,Adelaide,pm10,163,2,58,12,898.55
31/12/2018,AU,Adelaide,no2,123,0.1,0.1,0.1,0
31/12/2018,AU,Adelaide,wind-gust,135,0.1,22.4,5.9,314.56
31/12/2018,AU,Adelaide,co,165,0.1,0.3,0.1,0.03
31/12/2018,AU,Adelaide,o3,167,0,0,0,0
31/12/2018,AU,Adelaide,so2,9,0.1,0.1,0.1,0
31/12/2018,AU,Brisbane,pm10,214,12,24,18,78.75
31/12/2018,AU,Brisbane,o3,142,0.1,0.1,0.1,0
31/12/2018,AU,Brisbane,wind-speed,207,0,0,0,0
31/12/2018,AU,Brisbane,co,24,0.1,0.1,0.1,0
31/12/2018,AU,Brisbane,pressure,216,1011.1,1018.5,1015,22.18
5/01/2020,AU,Melbourne,pm25,307,1,74,23,1624.96
31/12/2018,AU,Brisbane,no2,111,0.1,0.1,0.1,0
31/12/2018,AU,Brisbane,dew,76,15.5,19,18,10.64
31/12/2018,AU,Brisbane,temperature,207,0,0,0,0
31/12/2018,AU,Brisbane,so2,55,0.1,0.1,0.1,0
31/12/2018,AU,Brisbane,humidity,210,0,88,0,11163.6
31/12/2018,AU,Brisbane,wd,207,0,0,0,0
31/12/2018,AU,Brisbane,wind-gust,184,0.1,14.8,8.5,191.19
31/12/2018,AU,Perth,co,6,2,2,2,0
31/12/2018,AU,Perth,temperature,72,15.8,31.2,22.4,195.26
31/12/2018,AU,Perth,o3,57,0,0,0,0
31/12/2018,AU,Perth,so2,36,2.9,14.3,2.9,144.54
31/12/2018,AU,Perth,pressure,72,1010,1022.9,1019.1,181.63
31/12/2018,AU,Perth,wind-speed,72,0.5,12,3.6,69.9
31/12/2018,AU,Perth,wind-gust,72,2,15.3,7.1,127.74
31/12/2018,AU,Perth,dew,41,9.5,20,13.5,69.72
31/12/2018,AU,Perth,pm10,58,14,22,19,46.16
31/12/2018,AU,Perth,humidity,64,16.1,100,63,3989.34
5/01/2020,AU,Melbourne,pm25,307,1,74,23,1624.96
31/12/2018,AU,Perth,no2,55,1.2,6.7,3.4,23.17
3/02/2020,AU,Melbourne,pm25,306,3,61,20,776.39
1/01/2019,AU,Sydney,co,22,1.2,3.4,2.3,5.97
6/01/2020,AU,Melbourne,pm25,302,9,372,160,53288.9
1/01/2019,AU,Sydney,wind-speed,154,0.1,7.7,3.1,36.82
1/01/2019,AU,Sydney,wind-gust,160,0.1,15.2,5.6,145.77
1/01/2019,AU,Sydney,so2,55,1.5,5.8,1.5,23.55
1/01/2019,AU,Sydney,no2,139,1,23.2,3.8,143.38
1/01/2019,AU,Sydney,pressure,168,1006.9,1015.5,1010.9,58.52
1/01/2019,AU,Sydney,dew,48,12,19.5,17.5,41.84
1/01/2019,AU,Sydney,temperature,168,21.8,36.6,26.8,157.49
1/01/2019,AU,Sydney,pm10,166,15,32,25,173.57
1/01/2019,AU,Sydney,humidity,168,30.2,86.5,57.5,2452.49
1/01/2019,AU,Sydney,o3,159,8.8,57.1,34.4,1157.33
3/01/2020,AU,Melbourne,pm25,296,2,547,71,95496.4
3/01/2020,AU,Melbourne,pm25,296,2,547,71,95496.4
1/01/2019,AU,Hobart,humidity,72,41.2,87,52.7,1153.62
8/01/2020,AU,Melbourne,pm25,294,1,134,62,2450.17
1/01/2019,AU,Hobart,pressure,72,997.9,1008.6,1005,114.59
1/01/2019,AU,Hobart,wind-speed,72,0.5,5.7,2.7,20.5
1/01/2019,AU,Hobart,wind-gust,72,1.2,12.2,8.3,52.4
1/01/2019,AU,Hobart,temperature,72,13.7,26.8,19.5,185.55
1/01/2019,AU,Hobart,pm10,63,1,85,7,1086.72
1/02/2020,AU,Melbourne,pm25,294,1,65,21,2028.55
1/01/2019,AU,Darwin,no2,44,0.1,5.3,0.3,7.36
1/01/2019,AU,Darwin,temperature,72,23.5,34.8,28.2,69.09
1/01/2019,AU,Darwin,pm10,47,5,67,13,954.12
1/01/2019,AU,Darwin,o3,46,3.1,12.3,7.8,52.38
1/01/2019,AU,Darwin,so2,35,0.1,16.2,0.1,138.81
1/01/2019,AU,Darwin,wd,48,26.9,334.1,227.1,83681.9
1/01/2019,AU,Darwin,wind-speed,48,0.8,7.6,3.5,29.66
1/01/2019,AU,Darwin,wind-gust,63,0.2,29,4.5,279.83
1/01/2019,AU,Darwin,dew,66,22,25.2,24,5.8
1/01/2019,AU,Darwin,humidity,48,47.8,95,75.4,1651.73
1/01/2019,AU,Darwin,pressure,72,1005.5,1008,1007,8.17
1/01/2019,AU,Darwin,precipitation,3,0.3,0.8,0.4,0.7
1/01/2019,AU,Darwin,co,48,2.8,5.1,3,3.69
1/01/2019,AU,Melbourne,dew,22,9,15,13,27.06
1/01/2019,AU,Melbourne,temperature,141,0,24.5,0,913.31
1/01/2019,AU,Melbourne,pressure,141,0,1013.8,0,2314130
1/01/2019,AU,Melbourne,wind-gust,147,0.1,18.6,9.2,194.48
1/01/2019,AU,Melbourne,so2,39,1.5,45.8,1.5,1406.58
25/02/2020,AU,Melbourne,pm25,287,1,81,32,2027.65
1/01/2019,AU,Melbourne,no2,117,1,12.1,2.8,81.7
1/01/2019,AU,Melbourne,co,18,1.2,2.3,1.2,3.2
1/01/2019,AU,Melbourne,pm10,124,2,49,14,566.48
1/01/2019,AU,Melbourne,humidity,141,27,96.2,71.4,2345.81
1/01/2019,AU,Melbourne,o3,126,0.8,24.8,12.8,556.43
1/01/2019,AU,Melbourne,wind-speed,119,0,8.2,2,41.78
1/01/2019,AU,Adelaide,humidity,168,17.1,85.2,32.5,2188.19
27/02/2020,AU,Melbourne,pm25,282,1,45,18,845.13
1/01/2019,AU,Adelaide,pressure,168,1009.5,1013.7,1012.2,10.42
