State,Station,acq_date,Min,Max,Max_wind_direction,Max_wind,RH_9,RH_3,Rain
ACT,70351,43617,-0.7,15.2,S,30,99,51,Y
ACT,70351,43618,-1.6,15.7,NNW,30,90,51,N
ACT,70351,43619,2.9,11.4,S,57,87,64,Y
ACT,70351,43620,4.4,11.4,S,69,67,59,Y
ACT,70351,43621,3.3,12.3,S,46,63,50,N
ACT,70351,43622,-3.9,14.6,W,19,95,47,N
ACT,70351,43623,-1.3,17,SE,17,87,44,Y
ACT,70351,43624,-0.1,11.2,NNW,20,99,78,N
ACT,70351,43625,0.6,16,NW,28,100,70,N
ACT,70351,43626,4.5,14.5,NNW,54,99,85,Y
ACT,70351,43627,3.8,16.3,NW,26,99,48,Y
ACT,70351,43628,0.6,17.4,NNW,50,100,64,N
ACT,70351,43629,5.8,16.5,NW,39,99,55,Y
ACT,70351,43630,-2.2,14.5,WNW,30,98,47,N
ACT,70351,43631,-1.4,13.7,NW,19,99,60,N
ACT,70351,43632,-0.8,13.2,NNW,17,99,55,Y
ACT,70351,43633,1.1,15.6,SE,26,85,54,N
ACT,70351,43634,0.5,13.7,NW,37,99,59,N
ACT,70351,43635,-2.7,11.9,WNW,26,95,44,Y
ACT,70351,43636,-4.4,11,N,31,83,48,N
ACT,70351,43637,-4.9,11.4,S,37,99,40,N
ACT,70351,43638,-1.5,11.5,S,35,70,44,N
ACT,70351,43639,-3.8,10.8,SSW,39,75,57,Y
ACT,70351,43640,-0.8,13.6,ESE,33,81,55,N
ACT,70351,43641,-2.2,15.9,SSE,19,89,49,N
ACT,70351,43642,0.4,15,E,22,80,46,N
ACT,70351,43643,0.4,15.9,SE,17,99,55,N
ACT,70351,43644,-1.1,16.7,NNW,30,99,49,Y
ACT,70351,43645,-1.7,16.6,N,54,99,56,N
ACT,70351,43646,4.3,11.3,NNW,46,82,49,Y
ACT,70351,43647,-4.7,12.5,N,31,90,50,Y
ACT,70351,43648,-3.6,15,NW,37,96,34,N
ACT,70351,43649,-3.1,15.6,E,30,84,55,N
ACT,70351,43650,2.5,13.3,E,35,76,66,N
ACT,70351,43651,0,15.8,E,33,98,79,N
ACT,70351,43652,4.6,15.6,NE,26,99,51,Y
ACT,70351,43653,0.2,15.3,NNW,17,83,60,Y
ACT,70351,43654,7.3,15.9,NW,35,96,58,N
ACT,70351,43655,-1.2,13.4,WNW,39,90,48,N
ACT,70351,43656,3.9,10.8,NNW,57,83,64,N
ACT,70351,43657,6,10.6,NW,61,67,66,Y
ACT,70351,43658,7.7,13.1,NW,69,67,77,N
ACT,70351,43659,3.2,8.7,NNW,65,70,61,Y
ACT,70351,43660,1,8.6,NW,63,70,69,N
ACT,70351,43661,4.6,12.8,WNW,54,62,46,Y
ACT,70351,43662,-2.1,14,NW,46,86,47,N
ACT,70351,43663,4.4,12.5,WNW,54,66,50,N
ACT,70351,43664,5.9,13,NW,46,55,52,N
ACT,70351,43665,2.3,13.3,N,37,75,62,N
ACT,70351,43666,-0.7,12.7,NNW,28,95,61,N
ACT,70351,43667,-4.7,15.8,NW,44,99,43,N
ACT,70351,43668,-1.6,17.3,N,31,80,33,N
ACT,70351,43669,-2.4,16,WNW,59,58,46,N
ACT,70351,43670,7.8,13.5,WNW,57,53,46,N
ACT,70351,43671,-5.1,15.7,NW,24,85,36,N
ACT,70351,43672,-1.8,11.1,NW,19,93,68,N
ACT,70351,43673,0.2,16.2,WNW,28,100,48,Y
ACT,70351,43674,-3.3,14.3,NNW,31,97,51,N
ACT,70351,43675,-2.4,14.2,NW,37,89,73,N
ACT,70351,43676,-1.4,13.6,SSE,31,80,35,Y
ACT,70351,43677,-2.8,13.7,WNW,19,74,44,Y
ACT,70351,43678,-3.8,14.6,NW,28,83,48,N
ACT,70351,43679,0,15.2,NNW,30,73,39,N
ACT,70351,43680,-0.9,13.3,N,33,98,57,N
ACT,70351,43681,0.4,13.6,NW,24,93,53,N
ACT,70351,43682,0.9,11.9,N,33,93,55,N
ACT,70351,43683,-2.5,12.9,N,35,97,49,N
ACT,70351,43684,-5,16,NW,43,90,32,N
ACT,70351,43685,-3.5,12.6,WNW,63,93,55,Y
ACT,70351,43686,4.1,8.7,NNW,72,89,63,Y
ACT,70351,43687,0.8,8.8,W,52,87,63,Y
ACT,70351,43688,2,10.7,NNW,46,88,54,Y
ACT,70351,43689,-1.6,13,NW,35,75,52,N
ACT,70351,43690,-1.7,12.7,N,31,92,55,N
ACT,70351,43691,-4.1,10.2,N,24,99,60,N
ACT,70351,43692,-3.2,15.3,NNW,46,71,28,Y
ACT,70351,43693,-2.8,18.3,NW,52,76,30,N
ACT,70351,43694,0.3,17.8,E,37,61,35,N
ACT,70351,43695,-1.1,18.9,NW,70,99,36,N
ACT,70351,43696,2.6,9.4,WNW,56,73,49,Y
ACT,70351,43697,2.7,13.2,WNW,61,63,54,N
ACT,70351,43698,6.8,16.6,W,52,56,38,N
ACT,70351,43699,9,16.1,W,54,42,27,N
ACT,70351,43700,-5.2,14.7,NNW,31,64,30,N
ACT,70351,43701,-5.2,17.4,NW,56,60,32,N
ACT,70351,43702,0.1,18.3,N,46,43,27,N
ACT,70351,43703,5.1,13.7,NE,26,67,56,N
ACT,70351,43704,5,13.2,NE,20,88,57,Y
ACT,70351,43705,1.6,17,WNW,44,88,31,N
ACT,70351,43706,0.7,13.8,SSE,41,62,42,N
ACT,70351,43707,1.3,14.5,SE,39,63,46,N
ACT,70351,43708,0.6,17.2,NNE,26,70,37,N
ACT,70351,43709,-2.3,19.8,NW,39,70,25,N
ACT,70351,43710,0.5,19,NW,28,68,33,Y
ACT,70351,43711,2.9,21.7,NW,41,58,28,N
ACT,70351,43712,-0.3,22.2,NW,48,63,26,N
ACT,70351,43713,1.5,21.2,SW,31,55,33,N
ACT,70351,43714,5.7,20.1,W,69,65,53,N
ACT,70351,43715,5,11.8,WNW,69,61,52,Y
ACT,70351,43716,4,13.4,WNW,57,47,52,N
ACT,70351,43717,3.7,14.1,SSW,69,43,29,N
ACT,70351,43718,-0.5,16.3,SSW,35,50,24,N
ACT,70351,43719,-3.1,19.4,NNW,30,68,28,N
ACT,70351,43720,-0.9,19.2,NW,50,51,26,N
ACT,70351,43721,-2.8,22.3,N,50,55,17,N
ACT,70351,43722,-0.5,21.8,NNW,35,49,27,N
ACT,70351,43723,-0.4,24,NW,43,50,17,N
ACT,70351,43724,5.4,24.7,NNW,46,17,37,N
ACT,70351,43725,0.8,11.3,SE,50,82,70,Y
ACT,70351,43726,1.5,15.9,SE,35,59,60,N
ACT,70351,43727,10,20.1,ENE,31,87,52,N
ACT,70351,43728,5.6,23.3,NE,43,72,42,N
ACT,70351,43729,10.1,18.7,NW,52,69,77,N
ACT,70351,43730,6.9,17.2,NNW,50,49,37,Y
ACT,70351,43731,0.1,13.6,WNW,50,58,49,N
ACT,70351,43732,-2.9,16.9,N,44,68,39,Y
